#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             486.383             486.383                   0
                   2             454.907             470.645             11.1285
                   3             445.598             462.296             10.0752
                   4             463.352              462.56             7.55988
                   5             445.405             459.129              6.7819
                   6             466.652             460.383             5.76631
                   7             485.139              463.92             5.92871
                   8             431.867             459.913             6.39978
                   9             443.308             458.068              5.9487
                  10             459.175             458.179             5.35486
                  11             466.879              458.97             4.92612
                  12             453.959             458.552             4.53327
                  13             455.024             458.281             4.19267
                  14             500.717             461.312             4.86709
                  15             451.156             460.635             4.58947
                  16             419.408             458.058             4.97362
                  17             441.243             457.069              4.7784
                  18             464.278             457.469             4.52968
                  19              425.88             455.807             4.58627
                  20             458.798             455.956              4.3594
