#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.789904            -0.789904                    0
                   2           -0.790244            -0.790074          0.000120208
                   3           -0.786452            -0.788867          0.000989036
                   4           -0.787076            -0.788419          0.000836981
                   5           -0.786156            -0.787966          0.000782445
                   6           -0.789112            -0.788157          0.000674932
                   7           -0.789352            -0.788328          0.000599703
                   8           -0.789516            -0.788477          0.000542815
                   9            -0.78684            -0.788295          0.000512052
                  10           -0.788784            -0.788344          0.000463179
                  11           -0.791908            -0.788668           0.00052226
                  12           -0.786264            -0.788467          0.000515721
                  13           -0.786756            -0.788336          0.000492565
                  14           -0.789928            -0.788449           0.00047033
                  15           -0.786568            -0.788324          0.000455392
                  16           -0.786604            -0.788217          0.000439435
                  17           -0.789772            -0.788308          0.000423005
                  18           -0.786852            -0.788227          0.000407165
                  19           -0.786784            -0.788151          0.000392756
                  20           -0.790072            -0.788247          0.000384682
