#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             22.3764             22.3764                   0
                   2              21.378             21.8772            0.352998
                   3             21.4907             21.7484            0.257771
                   4             21.4758             21.6802            0.202134
                   5             21.0744             21.5591            0.194661
                   6              22.422             21.7029            0.208689
                   7             21.3335             21.6501            0.185428
                   8             20.8737             21.5531            0.185922
                   9             22.2029             21.6253            0.178734
                  10             22.0464             21.6674            0.165747
                  11              21.883              21.687            0.151834
                  12             21.7073             21.6887             0.13919
                  13             21.9799             21.7111            0.130274
                  14             21.8626             21.7219            0.121418
                  15              22.013             21.7413            0.114863
                  16             20.6777             21.6748            0.125454
                  17             21.8463             21.6849            0.118479
                  18             21.8761             21.6955            0.112372
                  19             21.3248              21.676            0.108138
                  20             21.6487             21.6747             0.10274
