#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             11.3162             11.3162                   0
                   2             11.2627             11.2895           0.0189267
                   3             11.4021              11.327           0.0331557
                   4             11.3714             11.3381           0.0266551
                   5             11.2845             11.3274           0.0233809
                   6             11.2453             11.3137           0.0231452
                   7             11.6324             11.3592           0.0465858
                   8             11.5541             11.3836           0.0467013
                   9             11.4263             11.3883            0.041753
                  10             11.1854              11.368           0.0422213
                  11              11.386             11.3697           0.0384144
                  12             11.1379             11.3504            0.039774
                  13             11.1563             11.3354           0.0394159
                  14              11.401             11.3401           0.0368772
                  15             11.4026             11.3443           0.0346536
                  16             11.5301             11.3559           0.0343793
                  17             11.4814             11.3633           0.0331407
                  18             11.2722             11.3582           0.0316833
                  19             11.3145             11.3559           0.0300993
                  20             11.7254             11.3744           0.0337908
