#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             81.2097             81.2097                   0
                   2             84.6551             82.9324             1.21814
                   3             83.6321             83.1656            0.834119
                   4             84.2386             83.4339            0.667325
                   5             82.4725             83.2416            0.560877
                   6             81.8638              83.012            0.512251
                   7             85.6213             83.3847            0.558466
                   8             81.8664             83.1949             0.51991
                   9             81.6384              83.022            0.490064
                  10             81.5367             82.8735             0.46302
                  11             83.2148             82.9045            0.421966
                  12             80.9005             82.7375            0.418545
                  13              82.169             82.6938            0.388627
                  14             82.6737             82.6923             0.36087
                  15             84.4836             82.8117            0.356024
                  16             83.9385             82.8822            0.340666
                  17             85.7428             83.0504            0.359794
                  18             84.7778             83.1464            0.352371
                  19             83.3018             83.1546             0.33392
                  20             84.1504             83.2044            0.320915
