#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.4954              0.4954                   0
                   2              0.8363             0.66585            0.120526
                   3              0.8997              0.7438            0.102504
                   4              0.9826              0.8035           0.0926461
                   5              1.0332             0.84944           0.0847449
                   6              0.5887            0.805983           0.0810001
                   7              0.7401            0.796571           0.0699734
                   8              1.1243            0.837538           0.0722298
                   9              1.0344            0.859411           0.0674351
                  10              0.5555             0.82902           0.0671917
                  11              1.0188            0.846273           0.0632596
                  12              0.7487            0.838142           0.0585082
                  13              0.7995            0.835169            0.054083
                  14              0.5827            0.817136           0.0531415
                  15              0.5941            0.802267            0.051637
                  16              0.5784            0.788275           0.0502696
                  17              0.4708              0.7696           0.0506628
                  18              1.0092            0.782911            0.049566
                  19              0.8524            0.786568            0.047092
                  20              0.8003            0.787255           0.0447424
