#     BLOCK:  ACTUAL_H:  H_AVE:   H_AVE:ERROR:
         151    -0.41681   -0.408969  0.00111254
         152   -0.409056    -0.40897  0.00110522
         153   -0.422803    -0.40906  0.00110169
         154   -0.409146   -0.409061  0.00109454
         155   -0.421052   -0.409138  0.00109021
         156   -0.437171   -0.409318  0.00109793
         157   -0.398037   -0.409246  0.00109328
         158   -0.410156   -0.409252  0.00108638
         159   -0.409152   -0.409251  0.00107955
         160   -0.420568   -0.409322  0.00107511
         161    -0.38018   -0.409141  0.00108357
         162    -0.42601   -0.409245  0.00108187
         163   -0.432491   -0.409388  0.00108459
         164   -0.367259   -0.409131  0.00110798
         165   -0.417034   -0.409179   0.0011023
         166   -0.391474   -0.409072  0.00110081
         167    -0.43975   -0.409256  0.00110944
         168   -0.410601   -0.409264  0.00110286
         169    -0.41821   -0.409317  0.00109761
         170   -0.417603   -0.409365  0.00109223
         171   -0.389511   -0.409249    0.001092
         172   -0.409003   -0.409248  0.00108565
         173   -0.405731   -0.409227  0.00107957
         174   -0.418539   -0.409281  0.00107469
         175   -0.409919   -0.409285  0.00106855
         176   -0.400771   -0.409236  0.00106358
         177   -0.407187   -0.409225  0.00105763
         178   -0.422434   -0.409299  0.00105429
         179   -0.403966   -0.409269  0.00104882
         180   -0.403708   -0.409238  0.00104345
         181   -0.423698   -0.409318  0.00104074
         182   -0.415745   -0.409353  0.00103562
         183   -0.422375   -0.409425   0.0010324
         184   -0.427237   -0.409521  0.00103132
         185   -0.409216    -0.40952  0.00102574
         186   -0.414546   -0.409547  0.00102059
         187   -0.430246   -0.409657  0.00102111
         188   -0.413417   -0.409677  0.00101588
         189   -0.409943   -0.409679   0.0010105
         190   -0.406125    -0.40966  0.00100536
         191   -0.418739   -0.409708  0.00100122
         192   -0.423909   -0.409782 0.000998731
         193   -0.427927   -0.409876 0.000997972
         194   -0.434699   -0.410004    0.001001
         195   -0.414147   -0.410025 0.000996089
         196   -0.404989   -0.409999 0.000991338
         197   -0.395383   -0.409925 0.000989078
         198     -0.4178   -0.409965 0.000984882
         199   -0.435489   -0.410093  0.00098825
         200   -0.428067   -0.410183 0.000987386
         201   -0.399532    -0.41013 0.000983895
         202   -0.398033    -0.41007 0.000980845
         203   -0.406355   -0.410052 0.000976184
         204   -0.412515   -0.410064 0.000971473
         205   -0.417377   -0.410099 0.000967389
         206   -0.396354   -0.410033 0.000964992
         207   -0.404085   -0.410004 0.000960757
         208   -0.415713   -0.410031  0.00095653
         209   -0.396118   -0.409965 0.000954268
         210   -0.417869   -0.410002 0.000950465
         211   -0.406317   -0.409985 0.000946121
         212    -0.42244   -0.410044 0.000943481
         213   -0.410323   -0.410045 0.000939052
         214   -0.410387   -0.410047 0.000934665
         215   -0.408249   -0.410038 0.000930355
         216   -0.410214   -0.410039 0.000926049
         217   -0.416624   -0.410069 0.000922278
         218   -0.428865   -0.410156 0.000922069
         219   -0.398409   -0.410102 0.000919417
         220   -0.429566    -0.41019 0.000919485
         221   -0.416601   -0.410219 0.000915782
         222   -0.400333   -0.410175 0.000912739
         223   -0.405963   -0.410156 0.000908841
         224   -0.403921   -0.410128  0.00090521
         225    -0.40477   -0.410104   0.0009015
         226   -0.412276   -0.410114 0.000897562
         227   -0.418373    -0.41015 0.000894346
         228   -0.402622   -0.410117 0.000891032
         229   -0.407797   -0.410107 0.000887199
         230   -0.401313   -0.410069 0.000884165
         231   -0.426306   -0.410139 0.000883127
         232   -0.396116   -0.410079 0.000881387
         233   -0.422908   -0.410134 0.000879322
         234    -0.39638   -0.410075 0.000877526
         235   -0.396143   -0.410016 0.000875792
