#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              8.8273              8.8273                   0
                   2              8.1977              8.5125            0.222597
                   3             10.8552              9.2934            0.654644
                   4              8.0182              8.9746            0.563284
                   5              9.5032             9.08032            0.460442
                   6              8.3128              8.9524            0.401077
                   7              9.3216             9.00514            0.347231
                   8              9.7156             9.09395            0.314979
                   9              9.6856             9.15969             0.28676
                  10              9.1543             9.15915            0.258084
                  11              7.8483             9.03998            0.260687
                  12              7.6759             8.92631             0.26258
                  13              8.3339             8.88074            0.246304
                  14              7.2277             8.76266            0.255449
                  15              7.8226             8.69999            0.245987
                  16              9.7345             8.76465            0.238959
                  17              7.4234             8.68575             0.23757
                  18              9.4964             8.73079            0.228601
                  19             10.9592             8.84807            0.244814
                  20             10.3138             8.92136            0.243296
