#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             1448.71             1448.71                   0
                   2             1154.93             1301.82             103.868
                   3             1228.03             1277.22             72.0991
                   4             1470.98             1325.66             68.4377
                   5             1442.93             1349.12             58.6317
                   6             1307.53             1342.18             49.2678
                   7             1306.13             1337.03             42.4979
                   8             1477.46             1354.59             40.6493
                   9             1139.18             1330.65             42.5999
                  10             1359.48             1333.54             38.4373
                  11             1298.28             1330.33             35.0763
                  12             1529.23             1346.91             35.8562
                  13             1144.13             1331.31             36.3328
                  14             1313.38             1330.03             33.7601
                  15             1291.91             1327.49             31.6049
                  16             1485.47             1337.36              31.134
                  17             1143.87             1325.98             31.3139
                  18             1285.52             1323.73             29.6548
                  19             1230.56             1318.83             28.4966
                  20             1380.35              1321.9             27.2373
