#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -0.90174             -0.90174                    0
                   2           -0.892568            -0.897154           0.00324279
                   3           -0.891384            -0.895231           0.00267204
                   4           -0.901344            -0.896759           0.00240166
                   5           -0.903044            -0.898016           0.00222611
                   6           -0.897316            -0.897899           0.00185814
                   7           -0.897452            -0.897835           0.00159379
                   8           -0.901044            -0.898236           0.00144415
                   9           -0.892712            -0.897623           0.00140811
                  10           -0.897028            -0.897563           0.00126856
                  11           -0.899152            -0.897708           0.00116143
                  12            -0.90448            -0.898272           0.00119391
                  13           -0.893692             -0.89792           0.00115288
                  14            -0.89902            -0.897998           0.00107321
                  15           -0.895492            -0.897831           0.00101459
                  16           -0.902508            -0.898123          0.000992386
                  17            -0.89534             -0.89796          0.000947422
                  18           -0.895668            -0.897832          0.000903302
                  19           -0.894236            -0.897643          0.000875367
                  20           -0.897272            -0.897625          0.000831796
