#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             21.6395             21.6395                   0
                   2             20.6838             21.1616            0.337891
                   3             21.1655             21.1629            0.225263
                   4             22.5455             21.5086            0.343729
                   5             21.2155               21.45            0.279937
                   6             21.1316             21.3969            0.238255
                   7             21.2996              21.383            0.204624
                   8             21.6853             21.4208            0.182501
                   9             19.9773             21.2604            0.221768
                  10             21.7086             21.3052             0.20407
                  11             21.4883             21.3219            0.186196
                  12             22.2187             21.3966            0.185073
                  13             20.5513             21.3316              0.1819
                  14             21.9348             21.3747            0.173935
                  15             21.9864             21.4154            0.167051
                  16             22.4008              21.477            0.167578
                  17             19.9835             21.3892            0.179278
                  18             21.9472             21.4202            0.171977
                  19             20.4608             21.3697            0.170177
                  20             22.0435             21.4034            0.164969
