#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.2636              1.2636                   0
                   2               1.661              1.4623            0.140502
                   3              2.0003             1.64163            0.173822
                   4              2.1412             1.76653            0.169393
                   5              1.9272             1.79866            0.138529
                   6              1.6287             1.77033            0.118301
                   7              1.6873             1.75847            0.101994
                   8              2.0272             1.79206           0.0946147
                   9              1.9736             1.81223           0.0862252
                  10              1.6361             1.79462           0.0793813
                  11              2.2729              1.8381            0.083225
                  12              1.8112             1.83586           0.0763198
                  13              1.7936             1.83261           0.0705182
                  14               1.767             1.82792           0.0656367
                  15              1.5711              1.8108           0.0634548
                  16              1.3807             1.78392           0.0649335
                  17              1.1333             1.74565           0.0715085
                  18              2.0921             1.76489           0.0700783
                  19              2.0508             1.77994           0.0679863
                  20              1.6958             1.77573           0.0647171
