#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.564808            -0.564808                    0
                   2           -0.566432             -0.56562          0.000574171
                   3           -0.564408            -0.565216          0.000505303
                   4           -0.563052            -0.564675          0.000602607
                   5            -0.56464            -0.564668          0.000482126
                   6           -0.563816            -0.564526          0.000422166
                   7           -0.565844            -0.564714          0.000401655
                   8            -0.56438            -0.564673          0.000353615
                   9           -0.565644             -0.56478           0.00033039
                  10           -0.563288            -0.564631          0.000329339
                  11           -0.564724             -0.56464          0.000299507
                  12           -0.563088             -0.56451          0.000301169
                  13           -0.567928            -0.564773          0.000375611
                  14           -0.565308            -0.564811          0.000350718
                  15           -0.564076            -0.564762          0.000330746
                  16            -0.56634            -0.564861          0.000324439
                  17           -0.565228            -0.564883          0.000306072
                  18             -0.5658            -0.564934          0.000293281
                  19           -0.566532            -0.565018           0.00028966
                  20           -0.565312            -0.565032           0.00027555
