#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             116.479             116.479                   0
                   2             113.569             115.024             1.02909
                   3             113.119             114.389            0.860009
                   4             115.348             114.629            0.677625
                   5             113.187             114.341            0.600305
                   6             115.539              114.54            0.532433
                   7             119.926              115.31            0.845966
                   8             114.284             115.181             0.74988
                   9             118.219             115.519            0.738617
                  10             113.525             115.319            0.691149
                  11             117.063             115.478            0.646238
                  12              111.69             115.162            0.665022
                  13             117.424             115.336            0.636219
                  14             114.281             115.261            0.595226
                  15             117.411             115.404            0.572549
                  16             115.318             115.399             0.53679
                  17             116.772              115.48            0.511256
                  18             118.491             115.647            0.509486
                  19             113.895             115.555             0.49094
                  20             117.856              115.67             0.47969
