#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.24274             5.24274                   0
                   2             5.15158             5.19716           0.0322284
                   3             5.26644             5.22025           0.0285856
                   4             5.16726             5.20701           0.0243161
                   5             5.28909             5.22342           0.0243727
                   6             5.14113             5.20971           0.0238594
                   7             5.21948              5.2111           0.0204917
                   8             5.18213             5.20748           0.0182476
                   9             5.19104             5.20565           0.0163113
                  10             5.23531             5.20862           0.0149474
                  11             5.24159             5.21162           0.0138859
                  12             5.12733             5.20459           0.0143962
                  13             5.28519             5.21079           0.0145626
                  14             5.11561             5.20399            0.015026
                  15             5.21866             5.20497           0.0140561
                  16             5.16228              5.2023           0.0134284
                  17             5.24507             5.20482            0.012872
                  18             5.19911              5.2045           0.0121608
                  19             5.17298             5.20284           0.0116333
                  20             5.13097             5.19925           0.0115934
