#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.328784            -0.328784                    0
                   2           -0.328548            -0.328666          8.34386e-05
                   3           -0.329252            -0.328861          0.000168911
                   4           -0.329108            -0.328923           0.00013748
                   5           -0.327656             -0.32867          0.000251924
                   6            -0.32786            -0.328535          0.000243405
                   7           -0.326144            -0.328193          0.000378819
                   8           -0.327524            -0.328109          0.000340575
                   9           -0.327564            -0.328049           0.00030808
                  10           -0.330264             -0.32827          0.000347908
                  11           -0.327704            -0.328219          0.000320068
                  12           -0.328352             -0.32823          0.000293588
                  13           -0.328528            -0.328253          0.000271897
                  14            -0.32764            -0.328209          0.000255977
                  15           -0.328888            -0.328254          0.000242879
                  16           -0.329516            -0.328333          0.000240158
                  17           -0.329016            -0.328373          0.000229364
                  18           -0.328424            -0.328376          0.000216639
                  19           -0.328864            -0.328402          0.000206753
                  20           -0.328288            -0.328396          0.000196493
