#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             33.5015             33.5015                   0
                   2             34.1796             33.8405            0.239754
                   3             34.0546             33.9119            0.170123
                   4             34.1254             33.9653            0.135708
                   5             33.3839              33.849            0.150342
                   6             33.3891             33.7723            0.143503
                   7             33.8316             33.7808            0.123252
                   8             34.1146             33.8225             0.11469
                   9             33.9941             33.8416            0.103519
                  10             34.2545             33.8829            0.101067
                  11             33.5365             33.8514           0.0966611
                  12             33.9621             33.8606           0.0890454
                  13             33.7052             33.8487           0.0829947
                  14              33.569             33.8287           0.0794351
                  15             34.0827             33.8456           0.0759232
                  16             33.6615             33.8341           0.0720444
                  17             33.8554             33.8354           0.0678174
                  18             33.7248             33.8292           0.0643274
                  19             33.6539               33.82           0.0616004
                  20              34.771             33.8676           0.0746496
