#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             22.0298             22.0298                   0
                   2             21.0007             21.5152            0.363835
                   3             21.7294             21.5866            0.249459
                   4             22.4192             21.7948              0.2598
                   5             21.6385             21.7635            0.209711
                   6              21.896             21.7856            0.175918
                   7             22.3446             21.8654            0.167941
                   8               20.85             21.7385            0.188924
                   9             21.9275             21.7595            0.169096
                  10             22.6301             21.8466            0.173155
                  11             21.9611              21.857            0.157726
                  12             23.2192             21.9705            0.180876
                  13             22.0151             21.9739            0.166995
                  14             22.6035             22.0189            0.161007
                  15              20.678             21.9295            0.173323
                  16             21.8776             21.9263            0.162521
                  17             20.7371             21.8563            0.167338
                  18             22.5238             21.8934            0.162099
                  19             20.7817             21.8349            0.163787
                  20             22.5405             21.8702            0.159353
