#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             781.802             781.802                   0
                   2             673.975             727.888             38.1225
                   3             759.901             738.559             26.8669
                   4             685.639             725.329             23.1798
                   5             658.682                 712             22.0457
                   6             712.505             712.084             18.3716
                   7              704.58             711.012             15.7783
                   8              678.64             706.965             14.3155
                   9             653.496             701.024             13.9031
                  10             724.426             703.365             12.7082
                  11             743.399             707.004             12.0628
                  12             868.121              720.43             16.9563
                  13              651.48             715.127             16.4606
                  14             776.576             719.516             15.8592
                  15             668.591             716.121              15.161
                  16             680.348             713.885             14.3774
                  17             688.829             712.411              13.607
                  18             631.198             707.899             13.5785
                  19             675.321             706.185             12.9716
                  20             810.869             711.419             13.3373
