#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             36.5483             36.5483                   0
                   2             36.3361             36.4422           0.0750225
                   3             35.5316             36.1386            0.252824
                   4             35.5654             35.9953            0.226628
                   5             36.8059             36.1574            0.232155
                   6             36.4982             36.2142            0.200289
                   7             35.3729              36.094            0.204586
                   8             36.6584             36.1646            0.190789
                   9             36.8113             36.2364            0.182622
                  10             35.4327             36.1561            0.181183
                  11             36.2889             36.1682            0.165114
                  12             36.6754             36.2104            0.156672
                  13             36.6632             36.2453            0.148441
                  14             36.3803             36.2549            0.138151
                  15             36.7211              36.286            0.132391
                  16             36.5716             36.3038            0.125314
                  17             35.5321             36.2584            0.125897
                  18             36.9861             36.2989            0.125225
                  19             35.5662             36.2603            0.124431
                  20               35.67             36.2308            0.121659
