#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.56863             5.56863                   0
                   2             5.65568             5.61216           0.0307773
                   3             5.60537              5.6099           0.0206012
                   4             5.56344             5.59828           0.0184361
                   5             5.64302             5.60723           0.0167804
                   6             5.52538             5.59359           0.0187251
                   7             5.56917              5.5901           0.0163718
                   8             5.63892              5.5962            0.015421
                   9              5.5103             5.58666           0.0163976
                  10             5.60474             5.58847           0.0148572
                  11             5.56663             5.58648           0.0136385
                  12             5.55908              5.5842           0.0126916
                  13             5.64098             5.58857           0.0124443
                  14             5.58933             5.58862           0.0115555
                  15              5.6486             5.59262            0.011456
                  16              5.5624             5.59073           0.0108946
                  17             5.64586             5.59397           0.0107254
                  18             5.63419             5.59621           0.0103597
                  19             5.65558             5.59933           0.0102749
                  20                5.57             5.59786          0.00986532
