#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             15.1004             15.1004                   0
                   2             15.4116              15.256            0.110042
                   3             15.6312             15.3811            0.125744
                   4             15.1691             15.3281            0.104886
                   5             15.5939             15.3812           0.0964435
                   6             15.4141             15.3867           0.0805249
                   7             15.4028              15.389           0.0690544
                   8             15.7297             15.4316           0.0723701
                   9             15.2901             15.4159           0.0660135
                  10             15.2779             15.4021           0.0608378
                  11             15.3647             15.3987           0.0554019
                  12             15.3963             15.3985           0.0507854
                  13             15.0901             15.3748           0.0521243
                  14             15.3282             15.3714           0.0485071
                  15             15.4404              15.376           0.0454909
                  16             15.5126             15.3846           0.0434412
                  17             15.5315             15.3932           0.0417372
                  18             15.5841             15.4038           0.0407434
                  19             15.5049             15.4091           0.0389451
                  20             15.4379             15.4106           0.0370245
