#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.600444            -0.600444                    0
                   2           -0.602444            -0.601444          0.000707107
                   3           -0.601432             -0.60144          0.000471416
                   4           -0.599744            -0.601016          0.000509743
                   5           -0.601256            -0.601064          0.000410048
                   6            -0.60142            -0.601123          0.000345973
                   7           -0.601632            -0.601196          0.000304084
                   8           -0.599776            -0.601019          0.000313629
                   9           -0.601828            -0.601108          0.000291393
                  10           -0.600228             -0.60102          0.000275234
                  11           -0.601248            -0.601041          0.000250989
                  12           -0.599788            -0.600937          0.000250858
                  13           -0.603444             -0.60113          0.000296578
                  14           -0.601404            -0.601149          0.000276041
                  15           -0.600632            -0.601115          0.000259782
                  16            -0.60324            -0.601248          0.000275421
                  17           -0.600964            -0.601231          0.000259724
                  18           -0.600216            -0.601174          0.000251339
                  19            -0.60244            -0.601241          0.000246779
                  20            -0.60146            -0.601252          0.000234683
