#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             55.3851             55.3851                   0
                   2             57.4581             56.4216            0.732934
                   3             56.1672             56.3368            0.493502
                   4             57.0235             56.5085            0.398875
                   5             56.4944             56.5057             0.31911
                   6             58.6552             56.8639             0.42151
                   7             58.4101             57.0848            0.415152
                   8             55.3195             56.8641            0.417806
                   9             56.9064             56.8688            0.371409
                  10             56.5049             56.8324            0.336047
                  11             57.1392             56.8603            0.306652
                  12             58.1342             56.9665            0.298909
                  13             57.2976             56.9919            0.276999
                  14             56.0916             56.9276            0.264573
                  15             56.9061             56.9262            0.246939
                  16             56.4795             56.8983            0.233077
                  17             55.7314             56.8296            0.229252
                  18             58.3128              56.912            0.230848
                  19             55.9847             56.8632            0.223798
                  20              56.948             56.8675            0.212648
