#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -0.42784             -0.42784                    0
                   2           -0.428504            -0.428172          0.000234759
                   3           -0.427856            -0.428067           0.00017858
                   4            -0.42754            -0.427935            0.0001759
                   5             -0.4276            -0.427868          0.000152949
                   6           -0.427324            -0.427777          0.000151973
                   7           -0.430356            -0.428146          0.000365084
                   8            -0.42966            -0.428335          0.000365237
                   9            -0.42684            -0.428169          0.000360455
                  10           -0.427772            -0.428129          0.000326587
                  11           -0.427912            -0.428109          0.000297494
                  12           -0.427868            -0.428089          0.000273382
                  13           -0.426228            -0.427946          0.000287412
                  14            -0.42772             -0.42793          0.000267336
                  15           -0.426148            -0.427811          0.000274644
                  16           -0.429648            -0.427926          0.000280447
                  17           -0.427244            -0.427886          0.000266804
                  18           -0.427788             -0.42788          0.000252037
                  19           -0.427564            -0.427864          0.000239322
                  20           -0.428188             -0.42788          0.000227904
