#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             8.57551             8.57551                   0
                   2             8.34665             8.46108           0.0809142
                   3             8.59945              8.5072           0.0657886
                   4              8.5989             8.53012           0.0531858
                   5             8.60453               8.545           0.0445816
                   6             8.39043             8.51924           0.0439698
                   7             8.50871             8.51774           0.0377141
                   8             8.46198             8.51077           0.0336376
                   9             8.39877             8.49832           0.0321195
                  10             8.48687             8.49718            0.028928
                  11             8.54332             8.50137           0.0266005
                  12             8.67901             8.51618           0.0282037
                  13             8.76415             8.53525           0.0318378
                  14              8.6997               8.547           0.0316564
                  15             8.42963             8.53917           0.0304976
                  16              8.5513             8.53993           0.0286009
                  17             8.59232             8.54301            0.027084
                  18             8.50747             8.54104           0.0256512
                  19             8.43169             8.53528           0.0249384
                  20             8.44294             8.53067           0.0241151
