#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.8583              1.8583                   0
                   2              2.0627              1.9605           0.0722663
                   3              1.7963             1.90577           0.0657133
                   4              1.4504             1.79192            0.110222
                   5              1.5865             1.75084           0.0955286
                   6              1.8827             1.77282           0.0820961
                   7              1.2775             1.70206           0.0961421
                   8              1.5344              1.6811           0.0863783
                   9              2.0198             1.71873           0.0845824
                  10              1.8796             1.73482           0.0776388
                  11              1.8278             1.74327           0.0710394
                  12              1.8642             1.75335           0.0658303
                  13              1.4319             1.72862           0.0652453
                  14              1.7763             1.73203           0.0606737
                  15              1.7662             1.73431           0.0566716
                  16              1.7694              1.7365            0.053172
                  17              1.4957             1.72234           0.0518967
                  18              1.8851             1.73138           0.0497951
                  19              1.5488             1.72177           0.0480925
                  20              1.7381             1.72259           0.0456949
