#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             1059.38             1059.38                   0
                   2              885.51             972.445             61.4727
                   3             936.785             960.558             42.1153
                   4             1102.34             996.005             44.0458
                   5             885.351             973.874             40.4158
                   6             979.803             974.862             33.6919
                   7             846.642             956.545             33.4898
                   8             989.243             960.632              29.552
                   9             866.614             950.186             28.0541
                  10             911.547             946.322             25.5134
                  11             1010.78             952.181             23.8574
                  12             1100.28             964.523             24.8572
                  13             877.333             957.816             23.8328
                  14             961.201             958.058             22.1316
                  15             948.117             957.395             20.6661
                  16             904.886             954.113             19.6333
                  17             938.624             953.202             18.4996
                  18             851.609             947.558             18.3126
                  19             891.832             944.625              17.582
                  20             1017.88             948.288             17.0802
