#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             65.6594             65.6594                   0
                   2             67.6954             66.6774            0.719835
                   3             69.4727             67.6092            0.899493
                   4             68.0106             67.7095            0.680195
                   5             66.0591             67.3794            0.619089
                   6             69.4449             67.7237             0.60408
                   7             68.8805             67.8889            0.539915
                   8              67.906             67.8911             0.47243
                   9              68.692             67.9801            0.428238
                  10             67.4422             67.9263            0.388777
                  11             67.9464             67.9281            0.353438
                  12             68.5873              67.983            0.328226
                  13             68.6753             68.0363            0.307267
                  14             67.0536             67.9661            0.293227
                  15             69.2923             68.0545            0.286698
                  16             66.4464              67.954            0.285854
                  17             69.5679             68.0489            0.284367
                  18             67.3075             68.0077            0.271536
                  19             66.8054             67.9445            0.264516
                  20              67.189             67.9067            0.253973
