#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.461752            -0.461752                    0
                   2           -0.463864            -0.462808          0.000746705
                   3           -0.464112            -0.463243          0.000611363
                   4           -0.462684            -0.463103          0.000474207
                   5           -0.460528            -0.462588           0.00059674
                   6            -0.46302             -0.46266          0.000501608
                   7           -0.462428            -0.462627          0.000431043
                   8           -0.462056            -0.462556          0.000383024
                   9           -0.463236            -0.462631          0.000347849
                  10           -0.461436            -0.462512          0.000332962
                  11           -0.462568            -0.462517          0.000302732
                  12           -0.462784            -0.462539          0.000278322
                  13           -0.464024            -0.462653          0.000279373
                  14           -0.461812            -0.462593          0.000265801
                  15             -0.4619            -0.462547          0.000252066
                  16           -0.462164            -0.462523          0.000237445
                  17           -0.464068            -0.462614          0.000240242
                  18           -0.460832            -0.462515          0.000246448
                  19            -0.46206            -0.462491          0.000234637
                  20           -0.461248            -0.462429          0.000230989
