#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             9.75788             9.75788                   0
                   2             9.84127             9.79957           0.0294817
                   3             10.0474             9.88219           0.0702631
                   4              9.8678             9.87859           0.0527894
                   5             9.79783             9.86244           0.0446347
                   6              9.6238             9.82267           0.0519788
                   7             9.86382             9.82855           0.0448844
                   8             9.88916             9.83612           0.0399082
                   9             9.82516              9.8349           0.0354925
                  10             9.73941             9.82535           0.0332031
                  11             9.93248             9.83509           0.0315805
                  12             9.88516             9.83926            0.029223
                  13             9.75768             9.83299           0.0276408
                  14             9.69685             9.82326           0.0273235
                  15             9.90124             9.82846           0.0259918
                  16             9.86397             9.83068           0.0244619
                  17             9.95176              9.8378           0.0240374
                  18             9.77877             9.83452           0.0229246
                  19             9.83525             9.83456           0.0217181
                  20             9.85263             9.83547            0.020651
