#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.0019              1.0019                   0
                   2              1.0469              1.0244           0.0159099
                   3              1.2045             1.08443           0.0501514
                   4              1.0843              1.0844           0.0376136
                   5              1.0086             1.06924           0.0330049
                   6              1.1633             1.08492           0.0310044
                   7              1.1907             1.10003           0.0300331
                   8              1.2853             1.12319            0.034057
                   9              1.0705             1.11733           0.0307719
                  10              1.1998             1.12558           0.0287785
                  11              1.2043             1.13274           0.0270374
                  12              1.2163              1.1397           0.0256654
                  13              1.1234             1.13845           0.0237218
                  14               1.434             1.15956           0.0299841
                  15              1.0156             1.14996            0.029481
                  16              1.0657             1.14469           0.0281049
                  17              1.0308             1.13799           0.0272385
                  18              1.2912             1.14651           0.0270224
                  19              1.0775             1.14287           0.0258431
                  20              1.1812             1.14479           0.0246218
