#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.6627              0.6627                   0
                   2                1.07             0.86635            0.144002
                   3              1.3413             1.02467            0.161015
                   4              1.3036              1.0944             0.13502
                   5              1.2976             1.13504            0.113968
                   6              0.7318             1.06783            0.113066
                   7              1.0305              1.0625           0.0970392
                   8              1.3914             1.10361           0.0932124
                   9              1.4018             1.13674           0.0885482
                  10              0.9245             1.11552           0.0821977
                  11              1.3786             1.13944           0.0781271
                  12              1.0262                1.13           0.0721841
                  13              1.1734             1.13334           0.0667087
                  14              0.8806             1.11529           0.0643401
                  15              0.8177             1.09545           0.0630353
                  16              0.9415             1.08583           0.0598254
                  17              0.5876             1.05652           0.0630776
                  18              1.3234             1.07134           0.0612911
                  19              1.1219             1.07401            0.058123
                  20              1.2524             1.08292           0.0558971
