#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             6.80701             6.80701                   0
                   2             6.70104             6.75402           0.0374679
                   3             6.86555              6.7912           0.0393107
                   4             6.80646             6.79502           0.0296676
                   5             6.92376             6.82076           0.0330714
                   6             6.82086             6.82078           0.0275595
                   7             6.76244             6.81245           0.0248506
                   8             6.90888              6.8245           0.0244939
                   9             6.80324             6.82214            0.021886
                  10             6.79045             6.81897           0.0199255
                  11             6.81364             6.81848             0.01812
                  12             6.96165             6.83042           0.0201587
                  13             6.95491             6.83999           0.0207585
                  14             6.88717             6.84336           0.0195474
                  15             6.74226             6.83662           0.0193714
                  16             6.87256             6.83887           0.0182904
                  17             6.90244             6.84261           0.0175927
                  18             6.75584             6.83779           0.0172631
                  19             6.80886             6.83626           0.0164215
                  20             6.80536             6.83472            0.015673
