#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.380272            -0.380272                    0
                   2           -0.380832            -0.380552           0.00019799
                   3           -0.380528            -0.380544          0.000132155
                   4           -0.380696            -0.380582          0.000104437
                   5             -0.3794            -0.380346          0.000227351
                   6           -0.379872            -0.380267          0.000202699
                   7           -0.381736            -0.380477          0.000260676
                   8           -0.382324            -0.380707          0.000314146
                   9           -0.378196            -0.380428           0.00038366
                  10           -0.379172            -0.380303          0.000365289
                  11           -0.378456            -0.380135          0.000368649
                  12            -0.38016            -0.380137          0.000337935
                  13           -0.378528            -0.380013          0.000333836
                  14           -0.380388             -0.38004          0.000311062
                  15           -0.379092            -0.379977          0.000296676
                  16           -0.382128            -0.380111          0.000307092
                  17           -0.379272            -0.380062          0.000292969
                  18           -0.378864            -0.379995          0.000284151
                  19           -0.380752            -0.380035          0.000271972
                  20             -0.3802            -0.380043          0.000258498
