#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             7.13322             7.13322                   0
                   2             6.99571             7.06447            0.048616
                   3             7.15654             7.09516           0.0409693
                   4             7.14236             7.10696            0.032382
                   5             7.23143             7.13185           0.0341589
                   6             7.12157             7.13014           0.0285088
                   7             7.10145             7.12604            0.024729
                   8             7.15003             7.12904            0.021819
                   9             7.14572             7.13089           0.0194733
                  10             7.07846             7.12565           0.0182183
                  11             7.09996             7.12331           0.0167111
                  12             7.26516             7.13513           0.0190458
                  13             7.30301             7.14805           0.0215176
                  14             7.21151             7.15258           0.0204526
                  15             7.05198             7.14587           0.0201587
                  16             7.19273              7.1488           0.0191104
                  17             7.19653             7.15161           0.0181913
                  18              7.0358             7.14518            0.018283
                  19             7.12312             7.14402           0.0173575
                  20             7.10992             7.14231           0.0165731
