#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             52.5772             52.5772                   0
                   2             54.7629               53.67            0.772789
                   3             52.8148             53.3849            0.565341
                   4             54.0154             53.5426            0.445433
                   5             53.7945             53.5929            0.359185
                   6             55.7043             53.9448            0.439068
                   7              55.142             54.1159            0.408298
                   8             52.8959             53.9634            0.384685
                   9             53.3622             53.8966            0.347693
                  10             53.3308               53.84            0.317494
                  11             54.0511             53.8592            0.289211
                  12             55.0078             53.9549            0.280503
                  13             53.7187             53.9367            0.259514
                  14             53.2924             53.8907            0.245024
                  15             54.1966             53.9111            0.229536
                  16             53.7285             53.8997            0.215473
                  17             53.0756             53.8512            0.208181
                  18               55.11             53.9211            0.208029
                  19             53.1068             53.8783            0.201446
                  20              54.045             53.8866            0.191546
