#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             8.17311             8.17311                   0
                   2             7.99846             8.08578           0.0617504
                   3             8.23014              8.1339           0.0569057
                   4             8.14576             8.13687           0.0427565
                   5             8.24378             8.15825           0.0391886
                   6              8.0776             8.14481            0.034886
                   7             8.14579             8.14495           0.0299026
                   8             8.09327             8.13849           0.0268536
                   9             8.07928             8.13191           0.0246626
                  10             8.09952             8.12867           0.0224079
                  11             8.16122             8.13163           0.0205653
                  12             8.31489              8.1469           0.0238575
                  13             8.35345             8.16279           0.0267953
                  14             8.27633              8.1709           0.0260798
                  15             8.07265             8.16435           0.0251502
                  16             8.13618             8.16259           0.0236399
                  17             8.21611             8.16574           0.0224579
                  18             8.03738             8.15861           0.0223137
                  19             8.09349             8.15518           0.0214008
                  20             8.06762              8.1508           0.0207737
