#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.8896              0.8896                   0
                   2              1.1671             1.02835           0.0981111
                   3              1.5295              1.1954            0.151268
                   4              1.4946              1.2702            0.130642
                   5              1.4163             1.29942            0.107732
                   6              0.7856             1.21378            0.119043
                   7               1.063             1.19224            0.103967
                   8              1.6494             1.24939            0.105514
                   9              1.4947             1.27664           0.0972467
                  10              1.0869             1.25767            0.089354
                  11              1.5857             1.28749           0.0860634
                  12              1.1547             1.27642           0.0795997
                  13              1.3037             1.27852           0.0735043
                  14              0.9481             1.25492           0.0719434
                  15              0.9524             1.23475           0.0699169
                  16              1.0812             1.22516           0.0662025
                  17              0.7015             1.19435           0.0691039
                  18               1.475             1.20994           0.0670006
                  19              1.2113             1.21002           0.0634743
                  20              1.2904             1.21404           0.0604277
