#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             11.9827             11.9827                   0
                   2             11.9668             11.9747          0.00561275
                   3             12.0917             12.0137           0.0320614
                   4             12.1634             12.0511           0.0403553
                   5             11.9496             12.0308           0.0370429
                   6               11.93              12.014            0.034473
                   7              11.996             12.0115            0.029644
                   8             12.0127             12.0116           0.0259389
                   9             11.8595             11.9947           0.0280272
                  10             12.0168             11.9969           0.0253117
                  11             12.1131             12.0075           0.0251187
                  12             12.0036             12.0072           0.0230276
                  13             11.9804             12.0051           0.0213482
                  14             12.0786             12.0104           0.0204595
                  15             11.9168             12.0041           0.0200242
                  16              12.106             12.0105           0.0197598
                  17             11.9269             12.0056           0.0191988
                  18             11.9764             12.0039           0.0182006
                  19             11.9485              12.001           0.0174751
                  20             11.9703             11.9995           0.0166688
