#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.19872             5.19872                   0
                   2             5.03855             5.11863             0.05663
                   3             5.14529             5.12752           0.0384441
                   4             5.25273             5.15882            0.039576
                   5             5.25098             5.17725           0.0356956
                   6             5.15305             5.17322           0.0299734
                   7             5.11631             5.16509           0.0267714
                   8             5.24061             5.17453           0.0250342
                   9             5.10306             5.16659           0.0234783
                  10             5.21279             5.17121           0.0215803
                  11             5.12875             5.16735           0.0199606
                  12             5.26109             5.17516           0.0197669
                  13             5.23277             5.17959           0.0187366
                  14             5.20928             5.18171           0.0175178
                  15             5.15012             5.17961           0.0164761
                  16             5.19321             5.18046           0.0154683
                  17             5.16218             5.17938           0.0145957
                  18             5.06506             5.17303           0.0151035
                  19             5.17095             5.17292            0.014309
                  20             5.10565             5.16956           0.0139833
