#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             24.6696             24.6696                   0
                   2             22.8465              23.758            0.644563
                   3             23.0452             23.5204            0.471477
                   4             20.5452             22.7766            0.734831
                   5             22.6185              22.745            0.588545
                   6             23.1196             22.8074            0.493755
                   7             22.9256             22.8243            0.423507
                   8             22.6578             22.8035            0.371079
                   9             21.5157             22.6604             0.35637
                  10             19.0167              22.296             0.47155
                  11             21.5194             22.2254            0.433935
                  12             22.5137             22.2495            0.398438
                  13             24.0113              22.385            0.390158
                  14             25.5911              22.614            0.424208
                  15             23.0759             22.6448            0.397044
                  16             20.0296             22.4813            0.404475
                  17             24.0093             22.5712            0.390541
                  18              25.108             22.7121            0.393452
                  19             23.6207               22.76            0.375639
                  20             22.2644             22.7352            0.357673
