#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             19.1264             19.1264                   0
                   2              18.595             18.8607            0.187866
                   3             18.9829             18.9014            0.129584
                   4             18.9111             18.9038           0.0972108
                   5             18.5896              18.841            0.095953
                   6             18.5639             18.7948           0.0903908
                   7              18.369              18.734           0.0957817
                   8             18.8119             18.7437           0.0843021
                   9              18.948             18.7664           0.0779306
                  10              18.851             18.7749           0.0705947
                  11             18.5331             18.7529           0.0675117
                  12             18.7114             18.7494           0.0619741
                  13             18.4541             18.7267           0.0612303
                  14             19.0994             18.7533           0.0623741
                  15             18.5701             18.7411           0.0593998
                  16             19.1772             18.7684           0.0616248
                  17             18.7553             18.7676           0.0580046
                  18             18.9655             18.7786           0.0558137
                  19             18.2025             18.7483           0.0605546
                  20             18.4845             18.7351           0.0589456
