#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -0.68788             -0.68788                    0
                   2           -0.688776            -0.688328          0.000316784
                   3           -0.685484             -0.68738          0.000802332
                   4           -0.687008            -0.687287          0.000607115
                   5           -0.686096            -0.687049          0.000530366
                   6           -0.687556            -0.687133          0.000448658
                   7           -0.687756            -0.687222          0.000393283
                   8           -0.688068            -0.687328          0.000358049
                   9           -0.685972            -0.687177          0.000348527
                  10           -0.685892            -0.687049          0.000336542
                  11           -0.688832            -0.687211          0.000342774
                  12           -0.687076              -0.6872          0.000314394
                  13           -0.688856            -0.687327           0.00031497
                  14           -0.688956            -0.687443          0.000313226
                  15           -0.685644            -0.687323          0.000314479
                  16            -0.68834            -0.687387          0.000301173
                  17           -0.688892            -0.687476          0.000296183
                  18            -0.68976            -0.687602          0.000305713
                  19           -0.684544            -0.687441          0.000329286
                  20           -0.687232            -0.687431          0.000312988
