#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             229.145             229.145                   0
                   2             225.745             227.445             1.20181
                   3              225.75              226.88            0.924493
                   4              226.39             226.758            0.701427
                   5             217.325             224.871             1.77823
                   6             213.469             222.971             2.28149
                   7             222.644             222.924             1.95604
                   8             219.171             222.455              1.7669
                   9             216.563               221.8             1.68752
                  10             226.908             222.311             1.59419
                  11             230.323             223.039             1.60706
                  12             229.708             223.595             1.56628
                  13             231.834             224.229              1.5688
                  14             233.835             224.915             1.59976
                  15             217.317             224.408             1.57127
                  16             227.508             224.602             1.48496
                  17             234.019             225.156             1.49736
                  18             235.658              225.74             1.52362
                  19             214.428             225.144             1.55539
                  20             216.656              224.72             1.53443
