#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.1304              1.1304                   0
                   2              1.1584              1.1444          0.00989949
                   3              1.1822               1.157           0.0122227
                   4              1.1623             1.15833           0.0092386
                   5              1.1968             1.16602           0.0100993
                   6              1.2466             1.17945           0.0148706
                   7              0.9752             1.15027           0.0298702
                   8              0.9796             1.12894            0.032884
                   9              1.0406             1.11912           0.0306601
                  10              1.3636             1.14357           0.0360466
                  11              1.2729             1.15533            0.034634
                  12              1.4372             1.17882           0.0389063
                  13               1.548             1.20722           0.0451024
                  14              1.2721             1.21185           0.0421183
                  15              0.9674             1.19555            0.042346
                  16              1.0587               1.187            0.040554
                  17              1.0683             1.18002           0.0387649
                  18              1.1352             1.17753           0.0366912
                  19              1.2094             1.17921           0.0347984
                  20              0.7529             1.15789           0.0390447
