#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              43.304              43.304                   0
                   2             47.5446             45.4243             1.49928
                   3             36.6941             42.5142             2.57773
                   4             46.2953             43.4595             2.09947
                   5             46.3606             44.0397             1.75793
                   6             44.9481             44.1911             1.47144
                   7             47.4865             44.6619             1.33442
                   8              47.178             44.9764             1.20411
                   9             46.9965             45.2009             1.09104
                  10             43.2821              45.009            0.998668
                  11             47.3396             45.2209            0.930084
                  12             45.0607             45.2075            0.852673
                  13              39.597             44.7759            0.889624
                  14             44.5258             44.7581            0.826259
                  15             45.1954             44.7872            0.771689
                  16             46.6671             44.9047            0.732348
                  17             45.7459             44.9542            0.690939
                  18             46.3328             45.0308            0.656784
                  19             42.3891             44.8917            0.636763
                  20             47.4895             45.0216             0.61803
