#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             21.7268             21.7268                   0
                   2             22.3034             22.0151            0.203869
                   3             21.3401             21.7901            0.228525
                   4             21.8126             21.7957            0.171463
                   5             22.9998             22.0365            0.255363
                   6             21.4817             21.9441            0.228932
                   7             22.3863             22.0072            0.204761
                   8              21.323             21.9217            0.196218
                   9              21.711             21.8983            0.175808
                  10              21.508             21.8593            0.162502
                  11             21.3458             21.8126            0.154286
                  12             21.6845             21.8019            0.141798
                  13             21.8258             21.8037            0.130902
                  14             21.9495             21.8142            0.121965
                  15             22.7118              21.874            0.127674
                  16             22.1569             21.8917            0.120912
                  17             22.8494              21.948            0.126244
                  18             22.6283             21.9858            0.124759
                  19             21.5849             21.9647            0.119964
                  20             21.7651             21.9547            0.114381
