#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             945.174             945.174                   0
                   2             946.562             945.868            0.491015
                   3             911.718             934.485             9.30025
                   4             923.266              931.68             7.38596
                   5             1017.78               948.9             16.4965
                   6             960.315             950.802             13.8564
                   7             1014.38             959.884             14.5519
                   8             1002.32             965.189             13.6655
                   9              896.46             957.552             14.1205
                  10             900.999             951.897             13.7945
                  11             986.377             955.031             12.8917
                  12             984.984             957.527             12.0566
                  13             907.165             953.653             11.7351
                  14             1021.45             958.496             11.8539
                  15              1002.2              961.41             11.4161
                  16              958.67             961.238             10.7039
                  17             971.986             961.871             10.0929
                  18             956.985             961.599             9.53586
                  19             865.802             956.557             10.2809
                  20             965.467             957.003             9.77647
