#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              3.9235              3.9235                   0
                   2               3.373             3.64825            0.194631
                   3              3.0137             3.43673            0.216015
                   4              3.1396             3.36245            0.174316
                   5              3.2777              3.3455            0.140274
                   6              3.1751              3.3171            0.119736
                   7              3.1627             3.29504            0.104643
                   8              3.5712             3.32956           0.0970892
                   9              4.0683             3.41164            0.115917
                  10              3.7377             3.44425            0.108815
                  11                3.23             3.42477             0.10065
                  12              3.3434             3.41799            0.092491
                  13              3.0882             3.39262           0.0887872
                  14              3.6139             3.40843           0.0838403
                  15              3.2539             3.39813           0.0788813
                  16              2.4747             3.34041           0.0926905
                  17              3.5096             3.35036           0.0877708
                  18              3.2063             3.34236           0.0832587
                  19              3.1688             3.33323           0.0793762
                  20              2.9832             3.31572           0.0773128
