#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              3.0404              3.0404                   0
                   2                2.77              2.9052           0.0956008
                   3              3.0047             2.93837           0.0692485
                   4              3.1807             2.99895           0.0738251
                   5              2.7074             2.94064           0.0787917
                   6              2.8092             2.91873           0.0686376
                   7              2.9236             2.91943           0.0588358
                   8              3.0024              2.9298           0.0523875
                   9              3.5853             3.00263           0.0829683
                  10              3.0073              3.0031           0.0746728
                  11              3.2533             3.02585           0.0712643
                  12                2.34             2.96869           0.0852161
                  13              2.9246              2.9653           0.0787285
                  14              3.6252             3.01244           0.0860664
                  15              3.0544             3.01523           0.0803741
                  16              3.0267             3.01595           0.0753539
                  17              2.8324             3.00515           0.0716907
                  18              3.3419             3.02386           0.0701064
                  19              3.2169             3.03402           0.0671487
                  20              3.6164             3.06314           0.0698201
