#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.38972             5.38972                   0
                   2             5.40525             5.39749            0.005492
                   3             5.43031             5.40843          0.00965581
                   4             5.37324             5.39963           0.0105105
                   5             5.45212             5.41013           0.0126035
                   6             5.37266             5.40388           0.0119503
                   7             5.48682             5.41573           0.0150081
                   8             5.38867             5.41235            0.013508
                   9             5.41607             5.41276           0.0120134
                  10             5.41243             5.41273           0.0108121
                  11             5.33374             5.40555           0.0119789
                  12             5.29177             5.39607           0.0142471
                  13             5.50108             5.40414           0.0152704
                  14             5.35075             5.40033           0.0146481
                  15             5.42745             5.40214           0.0137828
                  16             5.35969             5.39949           0.0131742
                  17             5.49395             5.40504           0.0135205
                  18             5.44539             5.40728           0.0129538
                  19             5.41862             5.40788           0.0122858
                  20             5.41517             5.40825           0.0116769
