#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             35.6129             35.6129                   0
                   2             34.5199             35.0664            0.386437
                   3             35.1689             35.1006             0.25913
                   4             35.4031             35.1762            0.205084
                   5             33.8758             34.9161            0.284657
                   6             35.2741             34.9758            0.243386
                   7             35.5169             35.0531            0.220553
                   8             34.7391             35.0139            0.196444
                   9             34.8043             34.9906            0.175991
                  10             35.5691             35.0484            0.167632
                  11             35.0873              35.052             0.15243
                  12             34.8002              35.031            0.141164
                  13             35.3066             35.0522            0.131888
                  14             34.2362             34.9939            0.134731
                  15             35.2243             35.0093            0.126622
                  16             34.6001             34.9837            0.121263
                  17             35.7036              35.026            0.121299
                  18              34.601             35.0024            0.116835
                  19             34.4178             34.9717            0.114666
                  20             35.3224             34.9892            0.110266
