#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1               0.844               0.844                   0
                   2              0.6784              0.7612           0.0585484
                   3               0.494            0.672133           0.0825355
                   4              0.7146             0.68275           0.0625807
                   5              0.5069             0.64758            0.059127
                   6              0.6677            0.650933           0.0493675
                   7              0.6358            0.648771           0.0423623
                   8               0.704            0.655675           0.0376253
                   9               0.775            0.668933           0.0357044
                  10              0.5841             0.66045           0.0331264
                  11              0.8558            0.678209           0.0345489
                  12              0.7835            0.686983            0.032765
                  13              0.7473            0.691623           0.0305714
                  14              0.6595            0.689329           0.0284737
                  15              0.5818             0.68216            0.027463
                  16              0.7995            0.689494           0.0267078
                  17              0.8137              0.6968            0.026117
                  18              0.9857             0.71285            0.029184
                  19              0.7162            0.713026           0.0276485
                  20              0.6292            0.708835           0.0265819
