#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.5071              0.5071                   0
                   2               0.855             0.68105            0.123001
                   3              0.9268            0.762967            0.105819
                   4              1.0207              0.8274           0.0970177
                   5              1.0093             0.86378           0.0841592
                   6              0.5495              0.8114           0.0848821
                   7               0.755            0.803343           0.0731375
                   8              1.1354             0.84485           0.0748524
                   9              1.0345            0.865922           0.0694383
                  10              0.5771             0.83704           0.0682372
                  11              1.0814            0.859255           0.0655502
                  12              0.7692             0.85175           0.0605157
                  13               0.861            0.852462           0.0558648
                  14              0.5314            0.829529           0.0563854
                  15               0.637            0.816693           0.0540675
                  16              0.5814            0.801987           0.0526503
                  17              0.4634            0.782071           0.0531871
                  18              1.0725            0.798206           0.0526228
                  19               0.925            0.804879           0.0502745
                  20              0.8412            0.806695           0.0477936
