#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             2669.01             2669.01                   0
                   2             2916.28             2792.65              87.424
                   3             2555.47             2713.59             86.9707
                   4             3010.02             2787.69             91.5075
                   5             2742.49             2778.65             73.6512
                   6             2561.21             2742.41             69.7248
                   7             2688.15             2734.66             60.1934
                   8             3265.97             2801.07             81.4459
                   9             2470.97              2764.4             80.2311
                  10             3046.85             2792.64             77.0197
                  11             2971.32             2808.89             71.7102
                  12             3036.56             2827.86             68.1982
                  13             2931.56             2835.84              63.417
                  14             2887.07              2839.5             58.9927
                  15             3046.51              2853.3             56.6513
                  16             2674.08              2842.1             54.2066
                  17              2757.2              2837.1             51.2475
                  18             3282.05             2861.82             54.0341
                  19              2616.2             2848.89              52.714
                  20             2757.16             2844.31             50.2774
