#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1              20.257              20.257                   0
                   2             20.2268             20.2419            0.010677
                   3             20.6453             20.3763            0.110041
                   4             19.3791              20.127            0.231143
                   5             19.0328             19.9082            0.269279
                   6             19.5776             19.8531            0.229968
                   7             20.9021             20.0029            0.241046
                   8             18.9108             19.8664             0.24656
                   9             20.2461             19.9086            0.222744
                  10              20.753              19.993            0.215881
                  11             20.2266             20.0143            0.197297
                  12             20.4911              20.054            0.184814
                  13             20.6154             20.0972            0.175571
                  14             19.6006             20.0617            0.166574
                  15             19.1066             19.9981            0.167198
                  16             21.5444             20.0947            0.182558
                  17             21.8352             20.1971            0.198462
                  18             18.7725             20.1179            0.202605
                  19             19.8923             20.1061            0.192289
                  20             19.6453              20.083            0.184049
