#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              7.7572              7.7572                   0
                   2              9.3344              8.5458            0.557624
                   3              7.4964               8.196            0.468798
                   4              9.3119             8.47498            0.426605
                   5              9.1385             8.60768            0.361335
                   6              9.0098              8.6747            0.307265
                   7              9.7231             8.82447            0.297642
                   8              8.9158             8.83589            0.260656
                   9              8.0489             8.74844            0.245924
                  10              8.3299             8.70659            0.224865
                  11              6.8243             8.53547            0.261549
                  12              7.8866              8.4814            0.245279
                  13              9.2678             8.54189            0.233752
                  14              9.7578             8.62874            0.232631
                  15              9.2937             8.67307            0.221306
                  16              8.0364             8.63328            0.211022
                  17              9.0211             8.65609            0.199838
                  18              9.6274             8.71006            0.195886
                  19               8.996             8.72511            0.186153
                  20              7.5864             8.66817            0.185348
