#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              4.2726              4.2726                   0
                   2              4.3554               4.314           0.0292742
                   3              5.6965             4.77483            0.376775
                   4              4.4898             4.70357            0.289241
                   5              4.4474             4.65234            0.235887
                   6              4.5417              4.6339            0.197292
                   7              5.2191              4.7175            0.185978
                   8               5.021             4.75544            0.166555
                   9              5.3602             4.82263            0.161035
                  10               4.023             4.74267            0.163584
                  11              4.6192             4.73145            0.149097
                  12               4.311             4.69641            0.140729
                  13              3.9807             4.64135             0.14026
                  14              4.3321             4.61926            0.131969
                  15              4.4701             4.60932            0.123545
                  16              4.1015             4.57758            0.119831
                  17              3.3549             4.50566            0.132621
                  18               5.184             4.54334            0.130498
                  19               5.054             4.57022            0.126367
                  20              4.1375             4.54859            0.121887
