#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.7235              0.7235                   0
                   2              1.1206             0.92205            0.140396
                   3               1.432             1.09203            0.167402
                   4               1.432             1.17702            0.145536
                   5              1.4093             1.22348            0.123621
                   6              0.8018              1.1532            0.121362
                   7              1.0531              1.1389            0.104864
                   8              1.4885              1.1826            0.100449
                   9              1.4552             1.21289           0.0937437
                  10                0.97              1.1886           0.0874593
                  11              1.4783             1.21494           0.0833796
                  12              1.1072             1.20596           0.0769131
                  13              1.2713             1.21098           0.0711608
                  14              0.9205             1.19024           0.0690366
                  15              0.8708             1.16894            0.067639
                  16              1.0567             1.16192           0.0637743
                  17               0.644             1.13146           0.0669054
                  18              1.4125             1.14707           0.0649847
                  19              1.1987             1.14979           0.0616212
                  20              1.2424             1.15442           0.0587139
