#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             14.5385             14.5385                   0
                   2             14.7548             14.6467           0.0764847
                   3             15.0114             14.7682             0.11161
                   4              14.702             14.7517           0.0849286
                   5             14.9752             14.7964           0.0788399
                   6             14.6059             14.7646           0.0718064
                   7             14.6121             14.7429            0.064771
                   8             15.2589             14.8074           0.0827819
                   9             14.5869             14.7829           0.0771231
                  10             14.3682             14.7414           0.0797827
                  11             14.7928             14.7461           0.0726662
                  12             14.4979             14.7254           0.0694911
                  13             14.6308             14.7181           0.0645258
                  14             14.4542             14.6993           0.0626103
                  15             14.9978             14.7192           0.0615185
                  16             14.7988             14.7241           0.0578748
                  17             14.5859              14.716           0.0550385
                  18             14.8512             14.7235            0.052491
                  19             14.9031              14.733           0.0505723
                  20             14.7102             14.7318           0.0480565
