#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             130.048             130.048                   0
                   2              127.45             128.749            0.918485
                   3              126.45             127.983            0.875614
                   4             122.418             126.592             1.37211
                   5             129.528             127.179             1.21692
                   6             123.845             126.623             1.13389
                   7             126.761             126.643            0.972073
                   8             124.683             126.398            0.880887
                   9             125.901             126.343            0.784741
                  10             125.649             126.273            0.709326
                  11             125.184             126.174            0.651716
                  12             125.734             126.138            0.598437
                  13              130.81             126.497            0.651454
                  14             129.407             126.705            0.637211
                  15             126.639             126.701            0.594746
                  16             123.437             126.497            0.591522
                  17             125.632             126.446            0.558907
                  18             127.404             126.499            0.530385
                  19             129.506             126.657            0.525555
                  20                 124             126.524            0.515802
