#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              2.4502              2.4502                   0
                   2              2.7469             2.59855            0.104899
                   3              3.3397              2.8456            0.213494
                   4              3.2876              2.9561            0.186538
                   5              2.5809             2.88106            0.163629
                   6              2.4677             2.81217            0.150162
                   7              2.8514             2.81777            0.128815
                   8              3.1806             2.86313            0.120433
                   9              3.4454             2.92782             0.12321
                  10              2.5302             2.88806            0.117129
                  11              3.2176             2.91802            0.110246
                  12              2.7224             2.90172            0.102257
                  13              2.9159             2.90281           0.0943966
                  14              3.0682             2.91462           0.0883901
                  15              2.6518              2.8971           0.0842162
                  16              2.0915             2.84675           0.0927912
                  17              1.9251             2.79254            0.101948
                  18              3.6449             2.83989            0.106717
                  19              2.7846             2.83698             0.10114
                  20              2.7482             2.83254           0.0961799
