#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1               0.757               0.757                   0
                   2              0.7924              0.7747           0.0125158
                   3              0.6965            0.748633           0.0228605
                   4              0.5836            0.707375           0.0396314
                   5              0.6086             0.68762           0.0362963
                   6               0.565            0.667183           0.0355377
                   7              0.6506            0.664814           0.0305397
                   8              0.7727              0.6783           0.0295501
                   9              0.5101            0.659611           0.0316293
                  10              0.7463             0.66828           0.0296305
                  11               0.847            0.684527           0.0310736
                  12              0.8238            0.696133           0.0305749
                  13              0.9132            0.712831           0.0324637
                  14              0.7325            0.714236           0.0301753
                  15              0.6231             0.70816           0.0287687
                  16              0.8437            0.716631           0.0281903
                  17                0.88            0.726241           0.0281224
                  18              0.8532            0.733294           0.0274303
                  19              0.5982            0.726184           0.0268923
                  20              0.5555             0.71765           0.0268678
